书名,作者,出版社,年份,评分,评价人数,一句话评语
冬牧场,李娟 , 新星出版社 , 2012-6 ,9.1,28659,阿勒泰的精灵
美丽新世界,【英】奥尔德斯·赫胥黎 , 上海译文出版社 , 2017-6 ,9.2,39335, 
四世同堂,老舍 , 北京十月文艺出版社 , 2008-07 ,9.4,31308,北平沦陷时代广大平民的悲惨遭遇
离开的，留下的,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-10 ,8.9,60070,探索中年的虚无、困惑、野心和近乎残暴的爱
教父,[美]马里奥·普佐 , 译林出版社 , 1997-8 ,9.0,37762,“教父三部曲”电影原著
海子的诗,海子 , 人民文学出版社 , 1999-04 ,9.0,42308, 
罪与罚,[俄] 陀思妥耶夫斯基 , 上海译文出版社 , 2006-8 ,9.2,28319,描绘人内心的全部深度
斯通纳,[美] 约翰·威廉斯 , 上海人民出版社 , 2016-1 ,8.9,53954,即使不能拥有完美的生活，所幸追求过完整的自我
看不见的城市,[意] 伊塔洛·卡尔维诺 , 译林出版社 , 2012-4 ,9.0,29693, 
人生的智慧,(德)叔本华 , 上海人民出版社 , 2008-10-01 ,9.2,28173,对世俗、实用问题深刻而透彻的讨论
人生的枷锁,[英] 毛姆 , 上海译文出版社 , 2007-3 ,9.1,27468,在混沌纷扰的生活漩流中，寻求人生的真谛
叫魂,[美] 孔飞力 , 生活·读书·新知三联书店 上海三联书店 , 2012-5 ,9.1,25587,1768年中国妖术大恐慌
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 , 哈尔滨出版社 , 2004-6 ,8.9,61355,一个淡泊清透的世界
刘擎西方现代思想讲义,刘擎 , 新星出版社 , 2021-1 ,9.2,22812, 
鹿鼎记,金庸 , 广州出版社 花城出版社 , 2008-3 ,8.9,52661,武侠的解构，流氓的狂欢
梦里花落知多少,三毛 , 北京十月文艺出版社 , 2007-6 ,8.8,92521,哀而不伤
这些人，那些事,吴念真 , 译林出版社 , 2011-9 ,8.8,63787,平淡叙述下的惊心动魄
陆犯焉识,严歌苓 , 作家出版社 , 2011-10 ,8.9,53281,翻手为苍凉，覆手为繁华
边城,沈从文 , 北岳文艺出版社 , 2002-4 ,8.7,213930,一切充满了善，然而到处是不凑巧
时间简史,[英] 史蒂芬·霍金 , 湖南科学技术出版社 , 2010-4 ,8.9,58031,探索时间和空间的核心秘密
金色梦乡,[日] 伊坂幸太郎 , 译林出版社 , 2010-9 ,9.0,26738,伊坂幸太郎代表作
受戒,汪曾祺 , 漓江出版社 , 1987-10 ,9.3,21830,江南乡镇民间生活，健康淳朴的人性
也许你该找个人聊聊,[美]洛莉·戈特利布 ,上海文化出版社 , 2021-7-28 ,9.0,30244, 
王尔德童话,[英] 王尔德 , 译林出版社 , 2003-6 ,9.1,21480,一颗纯美纯善、永难泯灭的童心
棋王·树王·孩子王,阿城 , 江苏凤凰文艺出版社 , 2016-3-1 ,9.2,19765, 
